timestamp,value,category,region
2023-01-01 00:00:00,95.03,C,North
2023-01-01 01:00:00,100.24,A,North
2023-01-01 02:00:00,107.57,B,South
2023-01-01 03:00:00,120.59,A,North
2023-01-01 04:00:00,118.04,B,North
2023-01-01 05:00:00,126.67,A,South
2023-01-01 06:00:00,111.88,C,North
2023-01-01 07:00:00,125.44,B,North
2023-01-01 08:00:00,128.68,C,North
2023-01-01 09:00:00,115.5,B,North
2023-01-01 10:00:00,125.32,A,South
2023-01-01 11:00:00,104.22,B,South
2023-01-01 12:00:00,101.59,A,North
2023-01-01 13:00:00,89.53,A,South
2023-01-01 14:00:00,93.23,B,North
2023-01-01 15:00:00,84.96,B,North
2023-01-01 16:00:00,98.59,B,North
2023-01-01 17:00:00,89.68,A,North
2023-01-01 18:00:00,94.12,A,North
2023-01-01 19:00:00,96.53,B,North
2023-01-01 20:00:00,84.04,B,North
2023-01-01 21:00:00,85.37,A,South
2023-01-01 22:00:00,105.74,C,North
2023-01-01 23:00:00,97.99,C,North
2023-01-02 00:00:00,109.86,C,South
2023-01-02 01:00:00,111.03,C,North
2023-01-02 02:00:00,118.94,B,North
2023-01-02 03:00:00,120.62,C,North
2023-01-02 04:00:00,128.31,B,North
2023-01-02 05:00:00,125.54,B,South
2023-01-02 06:00:00,133.48,A,North
2023-01-02 07:00:00,124.89,C,North
2023-01-02 08:00:00,131.47,B,North
2023-01-02 09:00:00,117.18,B,South
2023-01-02 10:00:00,117.36,A,South
2023-01-02 11:00:00,110.12,C,North
2023-01-02 12:00:00,111.26,B,North
2023-01-02 13:00:00,101.99,B,South
2023-01-02 14:00:00,103.14,C,South
2023-01-02 15:00:00,97.34,B,South
2023-01-02 16:00:00,88.23,C,South
2023-01-02 17:00:00,88.07,B,South
2023-01-02 18:00:00,89.74,C,South
2023-01-02 19:00:00,89.14,A,North
2023-01-02 20:00:00,93.34,A,South
2023-01-02 21:00:00,98.55,A,North
2023-01-02 22:00:00,100.41,B,South
2023-01-02 23:00:00,109.93,B,North
2023-01-03 00:00:00,106.33,A,North
2023-01-03 01:00:00,122.42,A,South
2023-01-03 02:00:00,115.11,B,North
2023-01-03 03:00:00,131.5,A,North
2023-01-03 04:00:00,130.83,C,North
2023-01-03 05:00:00,136.52,A,South
2023-01-03 06:00:00,136.4,A,South
2023-01-03 07:00:00,136.77,B,North
2023-01-03 08:00:00,119.58,C,South
2023-01-03 09:00:00,116.84,A,North
2023-01-03 10:00:00,114.7,B,South
2023-01-03 11:00:00,119.92,B,South
2023-01-03 12:00:00,121.62,A,North
2023-01-03 13:00:00,99.97,B,South
2023-01-03 14:00:00,92.86,C,North
2023-01-03 15:00:00,88.44,A,South
2023-01-03 16:00:00,89.7,B,North
2023-01-03 17:00:00,89.22,B,South
2023-01-03 18:00:00,85.73,B,North
2023-01-03 19:00:00,84.14,A,North
2023-01-03 20:00:00,91.59,A,North
2023-01-03 21:00:00,94.41,A,North
2023-01-03 22:00:00,90.99,B,South
2023-01-03 23:00:00,95.97,B,South
2023-01-04 00:00:00,108.69,A,North
2023-01-04 01:00:00,117.36,A,North
2023-01-04 02:00:00,113.34,B,South
2023-01-04 03:00:00,121.35,A,North
2023-01-04 04:00:00,123.88,A,South
2023-01-04 05:00:00,118.65,C,South
2023-01-04 06:00:00,117.76,C,North
2023-01-04 07:00:00,121.06,C,North
2023-01-04 08:00:00,116.58,A,South
2023-01-04 09:00:00,119.4,B,South
2023-01-04 10:00:00,103.56,A,North
2023-01-04 11:00:00,104.19,C,North
2023-01-04 12:00:00,104.44,A,South
2023-01-04 13:00:00,94.16,C,South
2023-01-04 14:00:00,89.01,B,North
2023-01-04 15:00:00,84.9,B,South
2023-01-04 16:00:00,80.58,C,South
2023-01-04 17:00:00,78.42,B,North
2023-01-04 18:00:00,78.99,A,North
2023-01-04 19:00:00,78.79,C,South
2023-01-04 20:00:00,75.89,A,North
2023-01-04 21:00:00,89.51,A,North
2023-01-04 22:00:00,87.31,B,South
2023-01-04 23:00:00,93.8,B,North
2023-01-05 00:00:00,91.19,A,North
2023-01-05 01:00:00,91.88,C,South
2023-01-05 02:00:00,104.41,B,North
2023-01-05 03:00:00,112.47,C,North
2023-01-05 04:00:00,103.81,A,North
2023-01-05 05:00:00,109.46,B,South
2023-01-05 06:00:00,111.7,B,South
2023-01-05 07:00:00,118.99,A,North
2023-01-05 08:00:00,121.93,B,South
2023-01-05 09:00:00,105.3,C,South
2023-01-05 10:00:00,108.05,C,North
2023-01-05 11:00:00,100.17,B,North
2023-01-05 12:00:00,88.16,A,South
2023-01-05 13:00:00,92.35,B,North
2023-01-05 14:00:00,85.58,B,North
2023-01-05 15:00:00,78.92,C,South
2023-01-05 16:00:00,73.44,C,North
2023-01-05 17:00:00,72.08,A,South
2023-01-05 18:00:00,78.65,A,North
2023-01-05 19:00:00,77.6,B,South
2023-01-05 20:00:00,83.25,C,South
2023-01-05 21:00:00,78.92,C,North
2023-01-05 22:00:00,88.91,A,North
2023-01-05 23:00:00,81.17,B,North
2023-01-06 00:00:00,96.17,C,North
2023-01-06 01:00:00,106.98,C,South
2023-01-06 02:00:00,102.81,C,North
2023-01-06 03:00:00,104.45,C,North
2023-01-06 04:00:00,111.66,A,North
2023-01-06 05:00:00,111.34,C,North
2023-01-06 06:00:00,107.56,A,South
2023-01-06 07:00:00,103.75,A,North
2023-01-06 08:00:00,115.68,A,South
2023-01-06 09:00:00,98.14,C,North
2023-01-06 10:00:00,100.63,C,South
2023-01-06 11:00:00,98.3,A,South
2023-01-06 12:00:00,88.05,C,South
2023-01-06 13:00:00,85.27,A,North
2023-01-06 14:00:00,76.47,B,South
2023-01-06 15:00:00,79.11,C,North
2023-01-06 16:00:00,73.93,A,North
2023-01-06 17:00:00,77.06,B,North
2023-01-06 18:00:00,67.62,A,North
2023-01-06 19:00:00,73.84,B,North
2023-01-06 20:00:00,71.7,C,South
2023-01-06 21:00:00,80.07,C,North
2023-01-06 22:00:00,91.1,A,North
2023-01-06 23:00:00,83.71,A,South
2023-01-07 00:00:00,90.23,A,North
2023-01-07 01:00:00,101.71,C,North
2023-01-07 02:00:00,98.0,A,North
2023-01-07 03:00:00,100.0,B,South
2023-01-07 04:00:00,113.4,B,South
2023-01-07 05:00:00,113.55,A,South
2023-01-07 06:00:00,119.76,A,North
2023-01-07 07:00:00,113.32,A,South
2023-01-07 08:00:00,112.66,A,South
2023-01-07 09:00:00,105.14,B,South
2023-01-07 10:00:00,105.66,A,South
2023-01-07 11:00:00,100.49,B,North
2023-01-07 12:00:00,97.29,A,South
2023-01-07 13:00:00,94.26,A,South
2023-01-07 14:00:00,87.49,B,North
2023-01-07 15:00:00,78.28,B,North
2023-01-07 16:00:00,80.34,C,South
2023-01-07 17:00:00,69.43,A,South
2023-01-07 18:00:00,80.33,A,North
2023-01-07 19:00:00,80.15,C,North
2023-01-07 20:00:00,78.5,C,South
2023-01-07 21:00:00,92.57,A,North
2023-01-07 22:00:00,87.11,C,North
2023-01-07 23:00:00,100.86,A,South
2023-01-08 00:00:00,95.11,A,South
2023-01-08 01:00:00,112.4,B,North
2023-01-08 02:00:00,104.89,B,South
2023-01-08 03:00:00,92.86,B,North
2023-01-08 04:00:00,109.51,C,North
2023-01-08 05:00:00,117.78,A,North
2023-01-08 06:00:00,121.5,A,North
2023-01-08 07:00:00,119.18,A,North
2023-01-08 08:00:00,121.18,C,North
2023-01-08 09:00:00,122.2,A,South
2023-01-08 10:00:00,114.02,B,North
2023-01-08 11:00:00,118.37,A,South
2023-01-08 12:00:00,103.92,B,South
2023-01-08 13:00:00,104.35,C,South
2023-01-08 14:00:00,93.39,B,North
2023-01-08 15:00:00,91.54,C,South
2023-01-08 16:00:00,87.28,B,South
2023-01-08 17:00:00,92.68,C,South
2023-01-08 18:00:00,84.95,C,North
2023-01-08 19:00:00,83.25,C,South
2023-01-08 20:00:00,80.12,B,South
2023-01-08 21:00:00,91.1,A,South
2023-01-08 22:00:00,99.86,A,South
2023-01-08 23:00:00,102.29,B,South
2023-01-09 00:00:00,108.02,A,North
2023-01-09 01:00:00,101.19,B,North
2023-01-09 02:00:00,116.38,C,South
2023-01-09 03:00:00,129.66,C,North
2023-01-09 04:00:00,125.81,B,North
2023-01-09 05:00:00,131.24,C,South
2023-01-09 06:00:00,131.5,B,South
2023-01-09 07:00:00,134.85,B,South
2023-01-09 08:00:00,135.99,A,South
2023-01-09 09:00:00,125.41,B,South
2023-01-09 10:00:00,123.38,B,South
2023-01-09 11:00:00,110.64,B,South
2023-01-09 12:00:00,114.81,C,South
2023-01-09 13:00:00,106.93,A,North
2023-01-09 14:00:00,100.91,B,North
2023-01-09 15:00:00,87.63,B,North
2023-01-09 16:00:00,91.66,B,North
2023-01-09 17:00:00,90.96,C,North
2023-01-09 18:00:00,102.22,A,South
2023-01-09 19:00:00,109.25,B,North
2023-01-09 20:00:00,93.35,A,North
2023-01-09 21:00:00,94.91,A,North
2023-01-09 22:00:00,98.64,B,North
2023-01-09 23:00:00,106.06,B,South
2023-01-10 00:00:00,108.35,C,North
2023-01-10 01:00:00,127.6,B,North
2023-01-10 02:00:00,124.63,B,North
2023-01-10 03:00:00,114.67,B,South
2023-01-10 04:00:00,128.18,C,North
2023-01-10 05:00:00,137.73,B,South
2023-01-10 06:00:00,127.87,A,North
2023-01-10 07:00:00,123.16,C,North
2023-01-10 08:00:00,124.92,A,South
2023-01-10 09:00:00,124.36,C,North
2023-01-10 10:00:00,121.48,A,North
2023-01-10 11:00:00,115.42,A,North
2023-01-10 12:00:00,106.62,B,South
2023-01-10 13:00:00,103.43,C,North
2023-01-10 14:00:00,96.35,B,North
2023-01-10 15:00:00,85.7,C,North
2023-01-10 16:00:00,93.52,C,North
2023-01-10 17:00:00,78.95,B,North
2023-01-10 18:00:00,89.21,A,South
2023-01-10 19:00:00,99.06,A,North
2023-01-10 20:00:00,82.29,B,South
2023-01-10 21:00:00,91.07,A,North
2023-01-10 22:00:00,97.82,A,South
2023-01-10 23:00:00,99.51,C,South
2023-01-11 00:00:00,105.49,C,South
2023-01-11 01:00:00,112.78,A,North
2023-01-11 02:00:00,108.77,B,South
2023-01-11 03:00:00,119.15,A,North
2023-01-11 04:00:00,118.95,A,North
2023-01-11 05:00:00,124.78,B,North
2023-01-11 06:00:00,121.22,A,North
2023-01-11 07:00:00,116.17,C,North
2023-01-11 08:00:00,122.03,C,South
2023-01-11 09:00:00,118.94,C,South
2023-01-11 10:00:00,102.62,C,South
2023-01-11 11:00:00,114.78,A,North
2023-01-11 12:00:00,103.64,C,North
2023-01-11 13:00:00,102.2,B,South
