id,title,genre,producer,platform,release_year,rating,reviews_count,price_usd,units_sold
1,Game 1,RPG,Studio B,Nintendo Switch,2023,5.6,23694,67.03,3644878
2,Game 2,Simulation,Studio C,Xbox,2023,8.1,36987,45.91,4819663
3,Game 3,Puzzle,Studio A,PC,2016,4.1,878,19.35,105059
4,Game 4,RPG,Studio D,Mobile,2021,3.4,27081,61.96,4621765
5,Game 5,Strategy,Indie Dev,PC,2020,7.2,45344,52.47,2882998
6,Game 6,Strategy,Indie Dev,PlayStation,2017,3.1,2256,68.18,3171399
7,Game 7,Sports,Studio C,PC,2021,8.8,25078,22.73,1009280
8,Game 8,Puzzle,Studio D,Nintendo Switch,2021,4.3,18527,20.99,3312121
9,Game 9,Simulation,Indie Dev,Mobile,2016,5.1,46422,41.48,641346
10,Game 10,Simulation,Studio B,PlayStation,2020,6.0,28496,27.46,4279005
11,Game 11,Puzzle,Studio C,Nintendo Switch,2019,7.3,48663,18.36,3572028
12,Game 12,Simulation,Studio A,Xbox,2016,5.0,9246,31.97,3597583
13,Game 13,Adventure,Studio D,Xbox,2022,6.2,11216,57.1,2970581
14,Game 14,Sports,Studio B,PlayStation,2015,4.4,34116,40.84,4388518
15,Game 15,RPG,Studio C,PC,2015,7.1,29515,12.78,23989
16,Game 16,Action,Studio D,Nintendo Switch,2020,7.3,13957,20.22,2404003
17,Game 17,RPG,Indie Dev,PlayStation,2018,3.5,31796,66.92,632651
18,Game 18,Strategy,Studio C,Mobile,2015,9.8,971,58.49,2211442
19,Game 19,Sports,Studio C,Xbox,2021,5.1,19527,15.85,3219989
20,Game 20,Puzzle,Studio C,Xbox,2023,7.8,16467,36.4,3720605
21,Game 21,Action,Studio C,PC,2024,3.9,42311,39.7,4465768
22,Game 22,Adventure,Studio C,Nintendo Switch,2022,3.2,29146,64.55,1047154
23,Game 23,Sports,Studio C,Xbox,2023,4.8,8653,49.74,2738430
24,Game 24,Action,Studio A,PC,2022,5.2,49055,41.19,2888994
25,Game 25,RPG,Studio A,Nintendo Switch,2015,6.8,27430,21.08,492537
26,Game 26,RPG,Studio D,Xbox,2018,9.8,1185,56.5,1742438
27,Game 27,Adventure,Studio B,Xbox,2022,9.6,39170,63.68,1957401
28,Game 28,Sports,Studio D,Mobile,2019,7.2,8147,65.3,1086495
29,Game 29,Puzzle,Studio C,Xbox,2022,3.6,44358,21.75,3203517
30,Game 30,Sports,Indie Dev,Mobile,2017,3.3,32538,29.51,334866
31,Game 31,Puzzle,Studio D,PlayStation,2022,5.7,24642,26.27,2617406
32,Game 32,Strategy,Studio A,PlayStation,2017,8.8,10018,31.4,2287624
33,Game 33,Adventure,Indie Dev,Nintendo Switch,2015,5.0,44424,42.55,4865742
34,Game 34,Simulation,Indie Dev,Mobile,2022,4.0,4662,58.12,2524291
35,Game 35,Strategy,Indie Dev,PlayStation,2023,3.5,28423,69.2,4461328
36,Game 36,Strategy,Studio B,Xbox,2019,8.4,7187,21.91,2025574
37,Game 37,RPG,Studio A,PlayStation,2021,3.0,46431,58.92,1497710
38,Game 38,Action,Studio B,Xbox,2015,7.9,43812,53.73,714166
39,Game 39,Sports,Indie Dev,Xbox,2022,8.4,29144,14.43,4883045
40,Game 40,Adventure,Studio D,Nintendo Switch,2020,5.5,35315,16.94,4677134
41,Game 41,Strategy,Indie Dev,Mobile,2018,9.0,19793,47.39,905868
42,Game 42,Puzzle,Indie Dev,Mobile,2023,5.3,44309,13.8,4308617
43,Game 43,Puzzle,Studio D,Nintendo Switch,2022,5.2,254,29.5,3458892
44,Game 44,Sports,Studio C,PlayStation,2024,8.1,41781,48.24,4624656
45,Game 45,Puzzle,Studio D,PC,2023,9.2,2866,38.32,333248
46,Game 46,Sports,Studio A,PC,2017,3.8,24410,52.78,972625
47,Game 47,Sports,Studio D,Nintendo Switch,2016,8.3,30135,43.67,4173475
48,Game 48,Action,Studio A,PlayStation,2017,8.4,10694,39.62,1669228
49,Game 49,Sports,Studio A,Xbox,2022,6.7,27952,35.64,4718399
50,Game 50,Strategy,Studio A,Xbox,2021,3.2,16917,16.46,3852023
51,Game 51,Sports,Studio D,Mobile,2020,3.2,36229,48.17,21991
52,Game 52,Action,Indie Dev,Nintendo Switch,2019,5.2,12192,40.5,461122
53,Game 53,Strategy,Studio A,Mobile,2022,9.4,37951,24.95,3082983
54,Game 54,Strategy,Studio D,PC,2015,5.9,7421,55.32,3105360
55,Game 55,Adventure,Studio D,Mobile,2017,4.6,1727,14.61,4709698
56,Game 56,Sports,Studio B,Xbox,2017,5.0,17836,19.66,3566908
57,Game 57,Sports,Studio A,Xbox,2023,9.5,37085,58.48,1528151
58,Game 58,Puzzle,Indie Dev,PlayStation,2019,7.4,5602,62.28,2295482
59,Game 59,RPG,Studio C,Mobile,2023,8.6,32195,21.18,1936604
